Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
318491,86186380,8192,8192,0,79.353,4243.91,1000,0,0,0,0,0,0,0,12,1320,0,0,0,0,1795200,0,0,44.9521,170,0,0,0,0
318715,86186380,8192,8192,0,79.624,4140.36,1000,0,0,0,0,0,0,0,12,792,0,0,0,0,1077120,0,0,38.4727,170,0,0,0,0
318992,86186380,8192,8192,0,79.072,3132.74,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370880,0,0,39.5335,170,0,0,0,0
319275,86186380,8192,8192,0,78.955,3953.76,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370880,0,0,38.7754,170,0,0,0,0
319562,86186380,8192,8192,0,79.279,3293.03,1000,0,0,0,0,0,0,0,12,1176,0,0,0,0,1599172,0,0,44.5009,170,0,0,0,0
319808,86186380,8192,8192,0,78.808,5118.89,1000,0,0,0,0,0,0,0,12,1261,0,0,0,0,1714584,0,0,55.9576,170,0,0,0,0
319951,86186380,8192,8192,0,78.748,5066.68,1000,0,0,0,0,0,0,0,12,779,0,0,0,0,1058312,0,0,58.949,170,0,0,0,0
320142,86186380,8192,8192,0,78.808,3495.16,1000,0,0,0,0,0,0,0,12,792,0,0,0,0,1076744,0,0,45.0304,170,0,0,0,0
320413,86186380,8192,8192,0,78.767,4481.02,1000,0,0,0,0,0,0,0,12,1032,0,0,0,0,1403520,0,0,41.5662,170,0,0,0,0
320691,86186380,8192,8192,0,78.859,3182.62,1000,0,0,0,0,0,0,0,12,1008,0,0,0,0,1370880,0,0,39.3315,170,0,0,0,0
320929,86186380,8192,8192,0,78.742,4581.83,1000,0,0,0,0,0,0,0,12,1417,0,0,0,0,1924676,0,0,64.7328,170,0,0,0,0
321073,86186380,8192,8192,0,78.776,3978.26,1000,0,0,0,0,0,0,0,12,695,0,0,0,0,945200,0,0,52.4772,170,0,0,0,0
