Time,SocketID,pktFlowWindow,pktCongestionWindow,pktFlightSize,msRTT,mbpsBandwidth,mbpsMaxBW,pktSent,pktSndLoss,pktSndDrop,pktRetrans,byteSent,byteSndDrop,mbpsSendRate,usPktSndPeriod,pktRecv,pktRcvLoss,pktRcvDrop,pktRcvRetrans,pktRcvBelated,byteRecv,byteRcvLoss,byteRcvDrop,mbpsRecvRate,RCVLATENCYms,pktSndFilterExtra,pktRcvFilterExtra,pktRcvFilterSupply,pktRcvFilterLoss
429259,468301425,7481,8192,599,78.765,4076.93,1000,1031,0,0,0,1402160,0,54.6318,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
429457,468301425,7145,8192,450,78.727,4068.97,1000,969,0,0,0,1317464,0,52.9884,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
429738,468301425,7503,8192,224,78.736,4069.09,1000,1000,0,0,0,1359624,0,38.7179,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
430001,468301425,7537,8192,316,78.971,3654.24,1000,1042,0,0,0,1417120,0,43.2149,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
430102,468301425,7327,8192,677,78.91,3633.78,1000,931,0,0,0,1265596,0,99.4917,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
430309,468301425,7086,8192,288,78.972,4191.54,1000,979,0,0,0,1330876,0,51.6617,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
430514,468301425,7407,8192,430,79.13,4234.06,1000,1070,0,0,0,1455200,0,56.7717,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
430782,468301425,7519,8192,289,79.031,4291.56,1000,1019,0,0,0,1385840,0,41.2537,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
431068,468301425,7499,8192,224,78.983,3865.52,1000,1007,0,0,0,1369520,0,38.3607,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
431326,468301425,7519,8192,312,78.816,3338.23,1000,984,0,0,0,1338240,0,41.4292,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
431485,468301425,7444,8192,483,78.917,3735.9,1000,918,0,0,0,1248104,0,63.1133,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
431781,468301425,7284,8192,249,78.765,4235.96,1000,1168,92,0,92,1588480,0,42.8186,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
431921,468301425,7399,8192,424,79.187,4112.63,1000,830,0,0,0,1128236,0,64.5176,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
432140,468301425,7379,8192,408,79.237,3379.21,1000,1074,0,0,0,1458948,0,53.4078,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
432371,468301425,7327,8192,336,78.844,4016.96,1000,1094,0,0,0,1487840,0,51.5774,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
432586,468301425,7487,8192,256,78.96,4155.9,1000,888,0,0,0,1206552,0,44.8393,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
432783,468301425,7243,8192,684,78.934,4329.02,1000,1138,34,0,34,1547680,0,62.8238,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
433037,468301425,7489,8192,296,78.951,4478.9,1000,936,0,0,0,1272960,0,40.1101,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
433210,468301425,7207,8192,306,78.922,4378.14,1000,1032,0,0,0,1402956,0,64.9596,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
433489,468301425,7544,8192,293,79.196,3960.11,1000,1013,0,0,0,1377680,0,39.4696,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
433770,468301425,7589,8192,262,79.394,4005.31,1000,1003,0,0,0,1364080,0,38.8034,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
434008,468301425,7407,8192,296,79.382,3498.92,1000,1008,0,0,0,1370880,0,46.1665,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
434288,468301425,7553,8192,288,78.904,3598.93,1000,1008,0,0,0,1370880,0,39.0797,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
434474,468301425,7365,8192,422,78.937,3310.33,1000,1032,0,0,0,1402016,0,60.461,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
434742,468301425,7550,8192,223,78.858,3557.24,1000,936,0,0,0,1272960,0,37.986,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
435035,468301425,7551,8192,224,78.87,3624.78,1000,1008,0,0,0,1370880,0,37.3858,9,0,0,0,0,0,0,0,0,0,170,0,0,0,0
